customer_key,marketing_segment,loyalty_tier,email_opt_in,preferred_channel,campaign_code,registration_date,monthly_spend_usd,is_active
1,AUTOMOBILE,GOLD,TRUE,EMAIL,CAMP_2024_Q1,2022-03-15,5200.00,TRUE
2,BUILDING,SILVER,FALSE,DIRECT_MAIL,CAMP_2024_Q2,2021-07-22,2100.50,TRUE
3,FURNITURE,PLATINUM,TRUE,EMAIL,CAMP_2024_Q1,2020-11-30,12500.00,TRUE
4,MACHINERY,BRONZE,TRUE,SMS,CAMP_2024_Q3,2023-01-08,890.75,TRUE
5,HOUSEHOLD,SILVER,FALSE,SOCIAL,CAMP_2024_Q2,2022-08-19,3400.00,FALSE
6,AUTOMOBILE,PLATINUM,TRUE,EMAIL,CAMP_2024_Q1,2019-05-14,18000.00,TRUE
7,BUILDING,BRONZE,TRUE,DIRECT_MAIL,CAMP_2024_Q4,2023-06-01,450.00,TRUE
8,FURNITURE,SILVER,TRUE,EMAIL,CAMP_2024_Q2,2021-12-12,2750.00,TRUE
9,MACHINERY,GOLD,FALSE,SMS,CAMP_2024_Q3,2020-09-25,7800.50,TRUE
10,HOUSEHOLD,BRONZE,TRUE,SOCIAL,CAMP_2024_Q4,2023-03-17,320.00,FALSE
11,AUTOMOBILE,SILVER,TRUE,EMAIL,CAMP_2024_Q1,2022-11-03,3100.00,TRUE
12,BUILDING,GOLD,TRUE,DIRECT_MAIL,CAMP_2024_Q2,2021-02-28,6500.00,TRUE
13,FURNITURE,BRONZE,FALSE,SMS,CAMP_2024_Q3,2023-08-15,750.25,TRUE
14,MACHINERY,PLATINUM,TRUE,EMAIL,CAMP_2024_Q1,2018-04-20,22000.00,TRUE
15,HOUSEHOLD,GOLD,TRUE,SOCIAL,CAMP_2024_Q2,2020-07-11,8900.00,TRUE
16,AUTOMOBILE,BRONZE,FALSE,DIRECT_MAIL,CAMP_2024_Q4,2023-10-05,280.00,FALSE
17,BUILDING,PLATINUM,TRUE,EMAIL,CAMP_2024_Q1,2019-01-17,15600.00,TRUE
18,FURNITURE,SILVER,TRUE,SMS,CAMP_2024_Q3,2022-04-30,2300.00,TRUE
19,MACHINERY,BRONZE,TRUE,SOCIAL,CAMP_2024_Q4,2023-11-22,510.00,TRUE
20,HOUSEHOLD,PLATINUM,TRUE,EMAIL,CAMP_2024_Q1,2020-02-14,19800.00,TRUE
21,AUTOMOBILE,GOLD,FALSE,DIRECT_MAIL,CAMP_2024_Q2,2021-09-08,5900.50,FALSE
22,BUILDING,SILVER,TRUE,EMAIL,CAMP_2024_Q3,2022-06-26,2650.00,TRUE
23,FURNITURE,GOLD,TRUE,SMS,CAMP_2024_Q2,2021-04-19,7100.00,TRUE
24,MACHINERY,SILVER,FALSE,EMAIL,CAMP_2024_Q4,2023-05-13,1900.00,TRUE
25,HOUSEHOLD,BRONZE,TRUE,DIRECT_MAIL,CAMP_2024_Q1,2023-12-01,390.00,TRUE
